0_0: gene-MG_RS00005
2_236: gene-MHP168L_RS01265
2_237: gene-MHP168L_RS01270
2_238: gene-MHP168L_RS01280
2_239: gene-MHP168L_RS01285
2_240: gene-MHP168L_RS01290
2_241: gene-MHP168L_RS01295
2_242: gene-MHP168L_RS01300
2_243: gene-MHP168L_RS01305
2_244: gene-MHP168L_RS01310
2_245: gene-MHP168L_RS01315
2_246: gene-MHP168L_RS01320
2_247: gene-MHP168L_RS01325
2_248: gene-MHP168L_RS01330
2_249: gene-MHP168L_RS01335
2_250: gene-MHP168L_RS03935
2_251: gene-MHP168L_RS01345
2_252: gene-MHP168L_RS01350
2_253: gene-MHP168L_RS03940
2_254: gene-MHP168L_RS03945
2_255: gene-MHP168L_RS03950
2_256: gene-MHP168L_RS01370
2_257: gene-MHP168L_RS03955
2_258: gene-MHP168L_RS01380
2_259: gene-MHP168L_RS01385
2_260: gene-MHP168L_RS01390
2_261: gene-MHP168L_RS01395
2_262: gene-MHP168L_RS01400
2_263: gene-MHP168L_RS01405
2_264: gene-MHP168L_RS01410
2_265: gene-MHP168L_RS01415
2_266: gene-MHP168L_RS01420
2_267: gene-MHP168L_RS01425
2_268: gene-MHP168L_RS01430
2_269: gene-MHP168L_RS01435
2_270: gene-MHP168L_RS01440
2_271: gene-MHP168L_RS01445
2_272: gene-MHP168L_RS01450
2_273: gene-MHP168L_RS01455
2_274: gene-MHP168L_RS01460
2_275: gene-MHP168L_RS01465
2_276: gene-MHP168L_RS01470
2_277: gene-MHP168L_RS01475
2_278: gene-MHP168L_RS01480
2_279: gene-MHP168L_RS01485
2_280: gene-MHP168L_RS01490
2_281: gene-MHP168L_RS01495
2_282: gene-MHP168L_RS01500
2_283: gene-MHP168L_RS01505
2_284: gene-MHP168L_RS01510
2_285: gene-MHP168L_RS01515
2_286: gene-MHP168L_RS01520
2_287: gene-MHP168L_RS01525
2_288: gene-MHP168L_RS01530
2_289: gene-MHP168L_RS03960
2_290: gene-MHP168L_RS01540
2_291: gene-MHP168L_RS01545
2_292: gene-MHP168L_RS01550
2_293: gene-MHP168L_RS01555
2_294: gene-MHP168L_RS01560
2_295: gene-MHP168L_RS01590
2_296: gene-MHP168L_RS01595
2_297: gene-MHP168L_RS01600
2_298: gene-MHP168L_RS01605
2_299: gene-MHP168L_RS01610
2_300: gene-MHP168L_RS01615
2_301: gene-MHP168L_RS01620
2_302: gene-MHP168L_RS01625
2_303: gene-MHP168L_RS01630
2_304: gene-MHP168L_RS01635
2_305: gene-MHP168L_RS01640
2_306: gene-MHP168L_RS01645
2_307: gene-MHP168L_RS01650
2_308: gene-MHP168L_RS01655
2_309: gene-MHP168L_RS01660
2_310: gene-MHP168L_RS01665
2_311: gene-MHP168L_RS01670
2_312: gene-MHP168L_RS01675
2_313: gene-MHP168L_RS01680
2_314: gene-MHP168L_RS01685
2_315: gene-MHP168L_RS04070
2_316: gene-MHP168L_RS01695
2_317: gene-MHP168L_RS01700
2_318: gene-MHP168L_RS01705
2_319: gene-MHP168L_RS01710
2_320: gene-MHP168L_RS01715
2_321: gene-MHP168L_RS03865
2_322: gene-MHP168L_RS01725
2_323: gene-MHP168L_RS01730
2_324: gene-MHP168L_RS01735
2_325: gene-MHP168L_RS01740
2_326: gene-MHP168L_RS01745
2_327: gene-MHP168L_RS01750
2_328: gene-MHP168L_RS01755
2_329: gene-MHP168L_RS01760
2_330: gene-MHP168L_RS03735
2_331: gene-MHP168L_RS01765
2_332: gene-MHP168L_RS01770
2_333: gene-MHP168L_RS01775
2_334: gene-MHP168L_RS03830
2_335: gene-MHP168L_RS01780
2_336: gene-MHP168L_RS01785
2_337: gene-MHP168L_RS01790
2_338: gene-MHP168L_RS01795
2_339: gene-MHP168L_RS03870
2_340: gene-MHP168L_RS01800
2_341: gene-MHP168L_RS04080
2_342: gene-MHP168L_RS01805
2_343: gene-MHP168L_RS01810
2_344: gene-MHP168L_RS01815
2_345: gene-MHP168L_RS01825
2_346: gene-MHP168L_RS01830
2_347: gene-MHP168L_RS01835
2_348: gene-MHP168L_RS01840
2_349: gene-MHP168L_RS01845
2_350: gene-MHP168L_RS01850
2_351: gene-MHP168L_RS01855
2_352: gene-MHP168L_RS01860
2_353: gene-MHP168L_RS01865
2_354: gene-MHP168L_RS03970
2_355: gene-MHP168L_RS03975
2_356: gene-MHP168L_RS01875
2_357: gene-MHP168L_RS01880
2_358: gene-MHP168L_RS01885
2_359: gene-MHP168L_RS01890
2_360: gene-MHP168L_RS01900
2_361: gene-MHP168L_RS01905
2_362: gene-MHP168L_RS01910
2_363: gene-MHP168L_RS01915
2_364: gene-MHP168L_RS01920
2_365: gene-MHP168L_RS01925
2_366: gene-MHP168L_RS01930
2_367: gene-MHP168L_RS03980
2_368: gene-MHP168L_RS03875
2_369: gene-MHP168L_RS03835
2_370: gene-MHP168L_RS03985
2_371: gene-MHP168L_RS01950
2_372: gene-MHP168L_RS01955
2_373: gene-MHP168L_RS01960
2_374: gene-MHP168L_RS01965
2_375: gene-MHP168L_RS03820
2_376: gene-MHP168L_RS04085
2_377: gene-MHP168L_RS01970
2_378: gene-MHP168L_RS04090
2_379: gene-MHP168L_RS04095
2_380: gene-MHP168L_RS01995
2_381: gene-MHP168L_RS02005
2_382: gene-MHP168L_RS02010
2_383: gene-MHP168L_RS02015
2_384: gene-MHP168L_RS02020
2_385: gene-MHP168L_RS02025
2_386: gene-MHP168L_RS02030
2_387: gene-MHP168L_RS02035
2_388: gene-MHP168L_RS03990
2_389: gene-MHP168L_RS03995
2_390: gene-MHP168L_RS02045
2_391: gene-MHP168L_RS02050
2_392: gene-MHP168L_RS02055
2_393: gene-MHP168L_RS02060
2_394: gene-MHP168L_RS02065
2_395: gene-MHP168L_RS02070
2_396: gene-MHP168L_RS02075
2_397: gene-MHP168L_RS02080
2_398: gene-MHP168L_RS02085
2_399: gene-MHP168L_RS02090
2_400: gene-MHP168L_RS02095
2_401: gene-MHP168L_RS02100
2_402: gene-MHP168L_RS02105
2_403: gene-MHP168L_RS02110
2_404: gene-MHP168L_RS02115
2_405: gene-MHP168L_RS03885
2_406: gene-MHP168L_RS02120
2_407: gene-MHP168L_RS02125
2_408: gene-MHP168L_RS02130
2_409: gene-MHP168L_RS02135
2_410: gene-MHP168L_RS04000
2_411: gene-MHP168L_RS04005
2_412: gene-MHP168L_RS02145
2_413: gene-MHP168L_RS02150
2_414: gene-MHP168L_RS02155
2_415: gene-MHP168L_RS02160
2_416: gene-MHP168L_RS02165
2_417: gene-MHP168L_RS02170
2_418: gene-MHP168L_RS02175
2_419: gene-MHP168L_RS02180
2_420: gene-MHP168L_RS04010
2_421: gene-MHP168L_RS03840
2_422: gene-MHP168L_RS02190
2_423: gene-MHP168L_RS03890
2_424: gene-MHP168L_RS02210
2_425: gene-MHP168L_RS02215
2_426: gene-MHP168L_RS02220
2_427: gene-MHP168L_RS02225
2_428: gene-MHP168L_RS02230
2_429: gene-MHP168L_RS02235
2_430: gene-MHP168L_RS02240
2_431: gene-MHP168L_RS02245
2_432: gene-MHP168L_RS02250
2_433: gene-MHP168L_RS02255
2_434: gene-MHP168L_RS02260
2_435: gene-MHP168L_RS02265
2_436: gene-MHP168L_RS02270
2_437: gene-MHP168L_RS02275
2_438: gene-MHP168L_RS02280
2_439: gene-MHP168L_RS02285
2_440: gene-MHP168L_RS02290
2_441: gene-MHP168L_RS02295
2_442: gene-MHP168L_RS02300
2_443: gene-MHP168L_RS02305
2_444: gene-MHP168L_RS02310
2_445: gene-MHP168L_RS02315
2_446: gene-MHP168L_RS02320
2_447: gene-MHP168L_RS02325
2_448: gene-MHP168L_RS02330
2_449: gene-MHP168L_RS02335
2_450: gene-MHP168L_RS02340
2_451: gene-MHP168L_RS02345
2_452: gene-MHP168L_RS02350
2_453: gene-MHP168L_RS02355
2_454: gene-MHP168L_RS02360
2_455: gene-MHP168L_RS02365
2_456: gene-MHP168L_RS02370
2_457: gene-MHP168L_RS02375
2_458: gene-MHP168L_RS02380
2_459: gene-MHP168L_RS02385
2_460: gene-MHP168L_RS02390
2_461: gene-MHP168L_RS02395
2_462: gene-MHP168L_RS02400
2_463: gene-MHP168L_RS02405
2_464: gene-MHP168L_RS02410
2_465: gene-MHP168L_RS02415
2_466: gene-MHP168L_RS04015
2_467: gene-MHP168L_RS04020
2_468: gene-MHP168L_RS02430
2_469: gene-MHP168L_RS02435
2_470: gene-MHP168L_RS02440
2_471: gene-MHP168L_RS02445
2_472: gene-MHP168L_RS02450
2_473: gene-MHP168L_RS02455
2_474: gene-MHP168L_RS02465
2_475: gene-MHP168L_RS02470
2_476: gene-MHP168L_RS02475
2_477: gene-MHP168L_RS02480
2_478: gene-MHP168L_RS02485
2_479: gene-MHP168L_RS02490
2_480: gene-MHP168L_RS02495
2_481: gene-MHP168L_RS02500
2_482: gene-MHP168L_RS02505
2_483: gene-MHP168L_RS02510
2_484: gene-MHP168L_RS02525
2_485: gene-MHP168L_RS02530
2_486: gene-MHP168L_RS02535
2_487: gene-MHP168L_RS04025
2_488: gene-MHP168L_RS02545
2_489: gene-MHP168L_RS02550
2_490: gene-MHP168L_RS02555
2_491: gene-MHP168L_RS02560
2_492: gene-MHP168L_RS02565
2_493: gene-MHP168L_RS02570
2_494: gene-MHP168L_RS02575
2_495: gene-MHP168L_RS02580
2_496: gene-MHP168L_RS02585
2_497: gene-MHP168L_RS02590
2_498: gene-MHP168L_RS02595
2_499: gene-MHP168L_RS02600
2_500: gene-MHP168L_RS02605
2_501: gene-MHP168L_RS02610
2_502: gene-MHP168L_RS02615
2_503: gene-MHP168L_RS02620
2_504: gene-MHP168L_RS04030
2_505: gene-MHP168L_RS02625
2_506: gene-MHP168L_RS02630
2_507: gene-MHP168L_RS03895
2_508: gene-MHP168L_RS02640
2_509: gene-MHP168L_RS02645
2_510: gene-MHP168L_RS02650
2_511: gene-MHP168L_RS02655
2_512: gene-MHP168L_RS02660
2_513: gene-MHP168L_RS02665
2_514: gene-MHP168L_RS02670
2_515: gene-MHP168L_RS02675
2_516: gene-MHP168L_RS02680
2_517: gene-MHP168L_RS02685
2_518: gene-MHP168L_RS04035
2_519: gene-MHP168L_RS02695
2_520: gene-MHP168L_RS02700
2_521: gene-MHP168L_RS02705
2_522: gene-MHP168L_RS02710
2_523: gene-MHP168L_RS02715
2_524: gene-MHP168L_RS02720
2_525: gene-MHP168L_RS02725
2_526: gene-MHP168L_RS04040
2_527: gene-MHP168L_RS04045
2_528: gene-MHP168L_RS02735
2_529: gene-MHP168L_RS02740
2_530: gene-MHP168L_RS02745
2_531: gene-MHP168L_RS02750
2_532: gene-MHP168L_RS02755
2_533: gene-MHP168L_RS02760
2_534: gene-MHP168L_RS02765
2_535: gene-MHP168L_RS02770
2_536: gene-MHP168L_RS02775
2_537: gene-MHP168L_RS02780
2_538: gene-MHP168L_RS02785
2_539: gene-MHP168L_RS02790
2_540: gene-MHP168L_RS02795
2_541: gene-MHP168L_RS02800
2_542: gene-MHP168L_RS02805
2_543: gene-MHP168L_RS02810
2_544: gene-MHP168L_RS02815
2_545: gene-MHP168L_RS02820
2_546: gene-MHP168L_RS04050
2_547: gene-MHP168L_RS02830
2_548: gene-MHP168L_RS04100
2_549: gene-MHP168L_RS02835
2_550: gene-MHP168L_RS02840
2_551: gene-MHP168L_RS02845
2_552: gene-MHP168L_RS02850
2_553: gene-MHP168L_RS02855
2_554: gene-MHP168L_RS02860
2_555: gene-MHP168L_RS02865
2_556: gene-MHP168L_RS02870
2_557: gene-MHP168L_RS02875
2_558: gene-MHP168L_RS02880
2_559: gene-MHP168L_RS02885
2_560: gene-MHP168L_RS02890
2_561: gene-MHP168L_RS02895
2_562: gene-MHP168L_RS02900
2_563: gene-MHP168L_RS02905
2_564: gene-MHP168L_RS02910
2_565: gene-MHP168L_RS02915
2_566: gene-MHP168L_RS02920
2_567: gene-MHP168L_RS02925
2_568: gene-MHP168L_RS02930
2_569: gene-MHP168L_RS02935
2_570: gene-MHP168L_RS02940
2_571: gene-MHP168L_RS02945
2_572: gene-MHP168L_RS02955
2_573: gene-MHP168L_RS02960
2_574: gene-MHP168L_RS02965
2_575: gene-MHP168L_RS02970
2_576: gene-MHP168L_RS02975
2_577: gene-MHP168L_RS02980
2_578: gene-MHP168L_RS02985
2_579: gene-MHP168L_RS02990
2_580: gene-MHP168L_RS02995
2_581: gene-MHP168L_RS03000
2_582: gene-MHP168L_RS03005
2_583: gene-MHP168L_RS03010
2_584: gene-MHP168L_RS03015
2_585: gene-MHP168L_RS03020
2_586: gene-MHP168L_RS03025
2_587: gene-MHP168L_RS03030
2_588: gene-MHP168L_RS04055
2_589: gene-MHP168L_RS03040
2_590: gene-MHP168L_RS03045
2_591: gene-MHP168L_RS03050
2_592: gene-MHP168L_RS03055
2_593: gene-MHP168L_RS03060
2_594: gene-MHP168L_RS03065
2_595: gene-MHP168L_RS03070
2_596: gene-MHP168L_RS03075
2_597: gene-MHP168L_RS03080
2_598: gene-MHP168L_RS03085
2_599: gene-MHP168L_RS03090
2_600: gene-MHP168L_RS03095
2_601: gene-MHP168L_RS03100
2_602: gene-MHP168L_RS03105
2_603: gene-MHP168L_RS03110
2_604: gene-MHP168L_RS03115
2_605: gene-MHP168L_RS03120
2_606: gene-MHP168L_RS03125
2_607: gene-MHP168L_RS03130
2_608: gene-MHP168L_RS03135
2_609: gene-MHP168L_RS03140
2_610: gene-MHP168L_RS03150
2_611: gene-MHP168L_RS03155
2_612: gene-MHP168L_RS03160
2_613: gene-MHP168L_RS03165
2_614: gene-MHP168L_RS03170
2_615: gene-MHP168L_RS03175
2_616: gene-MHP168L_RS03180
2_617: gene-MHP168L_RS03185
2_618: gene-MHP168L_RS03190
2_619: gene-MHP168L_RS03195
2_620: gene-MHP168L_RS03200
2_621: gene-MHP168L_RS03205
2_622: gene-MHP168L_RS03215
2_623: gene-MHP168L_RS03220
2_624: gene-MHP168L_RS03225
2_625: gene-MHP168L_RS03230
2_626: gene-MHP168L_RS03235
2_627: gene-MHP168L_RS03240
2_628: gene-MHP168L_RS03245
2_629: gene-MHP168L_RS03250
2_630: gene-MHP168L_RS03260
2_631: gene-MHP168L_RS03265
2_632: gene-MHP168L_RS03270
2_633: gene-MHP168L_RS03275
2_634: gene-MHP168L_RS03280
2_635: gene-MHP168L_RS03285
2_636: gene-MHP168L_RS03290
2_637: gene-MHP168L_RS03295
2_638: gene-MHP168L_RS03300
2_639: gene-MHP168L_RS03305
2_640: gene-MHP168L_RS03310
2_641: gene-MHP168L_RS03315
2_642: gene-MHP168L_RS03320
2_643: gene-MHP168L_RS03325
2_644: gene-MHP168L_RS03330
2_645: gene-MHP168L_RS03825
2_646: gene-MHP168L_RS03335
2_647: gene-MHP168L_RS03340
2_648: gene-MHP168L_RS03345
2_649: gene-MHP168L_RS03350
2_650: gene-MHP168L_RS03355
2_651: gene-MHP168L_RS03360
2_652: gene-MHP168L_RS03365
2_653: gene-MHP168L_RS03370
2_654: gene-MHP168L_RS03375
2_655: gene-MHP168L_RS03380
2_656: gene-MHP168L_RS03390
2_657: gene-MHP168L_RS03395
2_658: gene-MHP168L_RS03780
2_659: gene-MHP168L_RS03400
2_660: gene-MHP168L_RS03405
2_661: gene-MHP168L_RS03410
2_662: gene-MHP168L_RS03415
2_663: gene-MHP168L_RS03420
2_664: gene-MHP168L_RS03425
2_665: gene-MHP168L_RS03430
2_666: gene-MHP168L_RS03435
2_667: gene-MHP168L_RS03440
2_668: gene-MHP168L_RS03445
2_669: gene-MHP168L_RS03450
2_670: gene-MHP168L_RS03460
2_671: gene-MHP168L_RS03465
2_672: gene-MHP168L_RS03470
2_673: gene-MHP168L_RS03475
2_674: gene-MHP168L_RS03480
2_675: gene-MHP168L_RS03485
2_676: gene-MHP168L_RS03490
2_677: gene-MHP168L_RS03495
2_678: gene-MHP168L_RS03500
2_679: gene-MHP168L_RS03505
2_680: gene-MHP168L_RS03510
2_681: gene-MHP168L_RS03515
2_682: gene-MHP168L_RS03520
2_683: gene-MHP168L_RS03525
2_684: gene-MHP168L_RS03530
2_685: gene-MHP168L_RS03535
2_686: gene-MHP168L_RS03540
2_687: gene-MHP168L_RS03545
2_688: gene-MHP168L_RS03550
2_689: gene-MHP168L_RS04060
2_690: gene-MHP168L_RS04065
2_691: gene-MHP168L_RS03560
2_692: gene-MHP168L_RS03565
2_693: gene-MHP168L_RS03570
2_694: gene-MHP168L_RS03575
2_695: gene-MHP168L_RS03580
2_696: gene-MHP168L_RS03585
2_697: gene-MHP168L_RS03590
2_698: gene-MHP168L_RS03595
2_699: gene-MHP168L_RS03615
2_700: gene-MHP168L_RS03620
2_701: gene-MHP168L_RS03625
2_702: gene-MHP168L_RS03630
2_703: gene-MHP168L_RS03635
2_704: gene-MHP168L_RS03640
2_705: gene-MHP168L_RS03645
2_706: gene-MHP168L_RS03650
2_707: gene-MHP168L_RS03655
2_708: gene-MHP168L_RS03660
2_709: gene-MHP168L_RS03665
3_0: gene-E4L58_RS03610
3_1: gene-E4L58_RS03615
3_2: gene-E4L58_RS03620
3_3: gene-E4L58_RS03625
3_4: gene-E4L58_RS03630
3_5: gene-E4L58_RS03635
3_6: gene-E4L58_RS03640
3_7: gene-E4L58_RS03645
3_8: gene-E4L58_RS03650
3_9: gene-E4L58_RS03655
3_10: gene-E4L58_RS03660
3_11: gene-E4L58_RS03665
3_12: gene-E4L58_RS03670
3_13: gene-E4L58_RS03675
3_14: gene-E4L58_RS03680
3_15: gene-E4L58_RS03685
3_16: gene-E4L58_RS03690
3_17: gene-E4L58_RS03695
3_18: gene-E4L58_RS03700
3_19: gene-E4L58_RS03705
3_20: gene-E4L58_RS03710
3_21: gene-E4L58_RS03715
3_22: gene-E4L58_RS03720
3_23: gene-E4L58_RS03725
3_24: gene-E4L58_RS03730
3_25: gene-E4L58_RS03735
3_26: gene-E4L58_RS03740
3_27: gene-E4L58_RS03745
3_28: gene-E4L58_RS03750
3_29: gene-E4L58_RS03755
3_30: gene-E4L58_RS03760
3_31: gene-E4L58_RS03765
3_32: gene-E4L58_RS03770
3_33: gene-E4L58_RS03775
3_34: gene-E4L58_RS03780
3_35: gene-E4L58_RS03785
3_36: gene-E4L58_RS03790
3_37: gene-E4L58_RS03795
3_38: gene-E4L58_RS03815
3_39: gene-E4L58_RS03820
3_40: gene-E4L58_RS03825
3_41: gene-E4L58_RS03830
3_42: gene-E4L58_RS03835
3_43: gene-E4L58_RS03840
3_44: gene-E4L58_RS03845
3_45: gene-E4L58_RS03850
3_46: gene-E4L58_RS03855
3_47: gene-E4L58_RS03860
3_48: gene-E4L58_RS03865
3_49: gene-E4L58_RS03870
3_50: gene-E4L58_RS03875
3_51: gene-E4L58_RS04075
3_52: gene-E4L58_RS03885
3_53: gene-E4L58_RS03890
3_54: gene-E4L58_RS03895
3_55: gene-E4L58_RS03900
3_56: gene-E4L58_RS03905
3_57: gene-E4L58_RS03910
3_58: gene-E4L58_RS03915
3_59: gene-E4L58_RS03980
3_60: gene-E4L58_RS03925
3_61: gene-E4L58_RS03930
3_62: gene-E4L58_RS03935
3_63: gene-E4L58_RS03945
3_64: gene-E4L58_RS04080
3_65: gene-E4L58_RS03955
3_66: gene-E4L58_RS00005
3_67: gene-E4L58_RS03985
3_68: gene-E4L58_RS00020
3_69: gene-E4L58_RS00025
3_70: gene-E4L58_RS00030
3_71: gene-E4L58_RS00035
3_72: gene-E4L58_RS00040
3_73: gene-E4L58_RS00045
3_74: gene-E4L58_RS00050
3_75: gene-E4L58_RS00055
3_76: gene-E4L58_RS00060
3_77: gene-E4L58_RS00065
3_78: gene-E4L58_RS00070
3_79: gene-E4L58_RS00075
3_80: gene-E4L58_RS00080
3_81: gene-E4L58_RS00085
3_82: gene-E4L58_RS00090
3_83: gene-E4L58_RS00095
3_84: gene-E4L58_RS00100
3_85: gene-E4L58_RS00110
3_86: gene-E4L58_RS00115
3_87: gene-E4L58_RS00120
3_88: gene-E4L58_RS00125
3_89: gene-E4L58_RS00130
3_90: gene-E4L58_RS00135
3_91: gene-E4L58_RS00140
3_92: gene-E4L58_RS00145
3_93: gene-E4L58_RS00150
3_94: gene-E4L58_RS00155
3_95: gene-E4L58_RS00160
3_96: gene-E4L58_RS00165
3_97: gene-E4L58_RS00170
3_98: gene-E4L58_RS00175
3_99: gene-E4L58_RS00180
3_100: gene-E4L58_RS00185
3_101: gene-E4L58_RS00190
3_102: gene-E4L58_RS00195
3_103: gene-E4L58_RS00200
3_104: gene-E4L58_RS00205
3_105: gene-E4L58_RS00210
3_106: gene-E4L58_RS00215
3_107: gene-E4L58_RS00220
3_108: gene-E4L58_RS00225
3_109: gene-E4L58_RS00230
3_110: gene-E4L58_RS00235
3_111: gene-E4L58_RS00240
3_112: gene-E4L58_RS00245
3_113: gene-E4L58_RS00250
3_114: gene-E4L58_RS00255
3_115: gene-E4L58_RS00260
3_116: gene-E4L58_RS00265
3_117: gene-E4L58_RS00270
3_118: gene-E4L58_RS00275
3_119: gene-E4L58_RS00280
3_120: gene-E4L58_RS00285
3_121: gene-E4L58_RS00290
3_122: gene-E4L58_RS00295
3_123: gene-E4L58_RS00300
3_124: gene-E4L58_RS00305
3_125: gene-E4L58_RS00310
3_126: gene-E4L58_RS00315
3_127: gene-E4L58_RS00320
3_128: gene-E4L58_RS00325
3_129: gene-E4L58_RS00330
3_130: gene-E4L58_RS00335
3_131: gene-E4L58_RS00340
3_132: gene-E4L58_RS00345
3_133: gene-E4L58_RS00350
3_134: gene-E4L58_RS00355
3_135: gene-E4L58_RS00360
3_136: gene-E4L58_RS00365
3_137: gene-E4L58_RS00370
3_138: gene-E4L58_RS00375
3_139: gene-E4L58_RS00380
3_140: gene-E4L58_RS00385
3_141: gene-E4L58_RS00390
3_142: gene-E4L58_RS00395
3_143: gene-E4L58_RS00400
3_144: gene-E4L58_RS00405
3_145: gene-E4L58_RS00410
3_146: gene-E4L58_RS00415
3_147: gene-E4L58_RS00420
3_148: gene-E4L58_RS00425
3_149: gene-E4L58_RS00430
3_150: gene-E4L58_RS00435
3_151: gene-E4L58_RS00445
3_152: gene-E4L58_RS00450
3_153: gene-E4L58_RS00455
3_154: gene-E4L58_RS00460
3_155: gene-E4L58_RS00465
3_156: gene-E4L58_RS00470
3_157: gene-E4L58_RS00475
3_158: gene-E4L58_RS00480
3_159: gene-E4L58_RS00485
3_160: gene-E4L58_RS00490
3_161: gene-E4L58_RS00495
3_162: gene-E4L58_RS00500
3_163: gene-E4L58_RS00505
3_164: gene-E4L58_RS00510
3_165: gene-E4L58_RS00515
3_166: gene-E4L58_RS00520
3_167: gene-E4L58_RS00525
3_168: gene-E4L58_RS00555
3_169: gene-E4L58_RS00560
3_170: gene-E4L58_RS00565
3_171: gene-E4L58_RS00570
3_172: gene-E4L58_RS00615
3_173: gene-E4L58_RS00620
3_174: gene-E4L58_RS00625
3_175: gene-E4L58_RS00630
3_176: gene-E4L58_RS03990
3_177: gene-E4L58_RS00635
3_178: gene-E4L58_RS00640
3_179: gene-E4L58_RS00645
3_180: gene-E4L58_RS00650
3_181: gene-E4L58_RS00655
3_182: gene-E4L58_RS00660
3_183: gene-E4L58_RS00665
3_184: gene-E4L58_RS00670
3_185: gene-E4L58_RS00675
3_186: gene-E4L58_RS00680
3_187: gene-E4L58_RS00685
3_188: gene-E4L58_RS00690
3_189: gene-E4L58_RS00695
3_190: gene-E4L58_RS00700
3_191: gene-E4L58_RS00705
3_192: gene-E4L58_RS00710
3_193: gene-E4L58_RS00715
3_194: gene-E4L58_RS00720
3_195: gene-E4L58_RS00725
3_196: gene-E4L58_RS00730
3_197: gene-E4L58_RS00735
3_198: gene-E4L58_RS00740
3_199: gene-E4L58_RS00745
3_200: gene-E4L58_RS00750
3_201: gene-E4L58_RS00755
3_202: gene-E4L58_RS00765
3_203: gene-E4L58_RS00770
3_204: gene-E4L58_RS00775
3_205: gene-E4L58_RS00785
3_206: gene-E4L58_RS00795
3_207: gene-E4L58_RS00800
3_208: gene-E4L58_RS00805
3_209: gene-E4L58_RS00810
3_210: gene-E4L58_RS00815
3_211: gene-E4L58_RS00820
3_212: gene-E4L58_RS00825
3_213: gene-E4L58_RS00830
3_214: gene-E4L58_RS00835
3_215: gene-E4L58_RS00840
3_216: gene-E4L58_RS00845
3_217: gene-E4L58_RS00850
3_218: gene-E4L58_RS00855
3_219: gene-E4L58_RS00860
3_220: gene-E4L58_RS00865
3_221: gene-E4L58_RS00870
3_222: gene-E4L58_RS00875
3_223: gene-E4L58_RS00885
3_224: gene-E4L58_RS00895
3_225: gene-E4L58_RS00900
3_226: gene-E4L58_RS00905
3_227: gene-E4L58_RS00915
3_228: gene-E4L58_RS00920
3_229: gene-E4L58_RS00925
3_230: gene-E4L58_RS00930
3_231: gene-E4L58_RS00935
3_232: gene-E4L58_RS00940
3_233: gene-E4L58_RS00945
3_234: gene-E4L58_RS00950
3_235: gene-E4L58_RS00960
3_236: gene-E4L58_RS00970
3_237: gene-E4L58_RS00975
3_238: gene-E4L58_RS00980
3_239: gene-E4L58_RS00985
3_240: gene-E4L58_RS00990
3_241: gene-E4L58_RS00995
3_242: gene-E4L58_RS01000
3_243: gene-E4L58_RS01005
3_244: gene-E4L58_RS01010
3_245: gene-E4L58_RS01015
3_246: gene-E4L58_RS01030
3_247: gene-E4L58_RS01035
3_248: gene-E4L58_RS01040
3_249: gene-E4L58_RS01045
3_250: gene-E4L58_RS01050
3_251: gene-E4L58_RS01055
3_252: gene-E4L58_RS01060
3_253: gene-E4L58_RS01065
3_254: gene-E4L58_RS01070
3_255: gene-E4L58_RS01075
3_256: gene-E4L58_RS01080
3_257: gene-E4L58_RS01085
3_258: gene-E4L58_RS01090
3_259: gene-E4L58_RS01095
3_260: gene-E4L58_RS01100
3_261: gene-E4L58_RS01105
3_262: gene-E4L58_RS01110
3_263: gene-E4L58_RS01115
3_264: gene-E4L58_RS01120
3_265: gene-E4L58_RS01125
3_266: gene-E4L58_RS01130
3_267: gene-E4L58_RS01135
3_268: gene-E4L58_RS01140
3_269: gene-E4L58_RS01145
3_270: gene-E4L58_RS01150
3_271: gene-E4L58_RS01155
3_272: gene-E4L58_RS01160
3_273: gene-E4L58_RS01165
3_274: gene-E4L58_RS01170
3_275: gene-E4L58_RS01175
3_276: gene-E4L58_RS01180
3_277: gene-E4L58_RS01185
3_278: gene-E4L58_RS01190
3_279: gene-E4L58_RS01195
3_280: gene-E4L58_RS01200
3_281: gene-E4L58_RS01205
3_282: gene-E4L58_RS01210
3_283: gene-E4L58_RS01215
3_284: gene-E4L58_RS01220
3_285: gene-E4L58_RS01225
3_286: gene-E4L58_RS01230
3_287: gene-E4L58_RS01235
3_288: gene-E4L58_RS01250
3_289: gene-E4L58_RS01255
3_290: gene-E4L58_RS01260
3_291: gene-E4L58_RS01265
3_292: gene-E4L58_RS01270
3_293: gene-E4L58_RS01275
3_294: gene-E4L58_RS01280
3_295: gene-E4L58_RS01285
3_296: gene-E4L58_RS01290
3_297: gene-E4L58_RS01295
3_298: gene-E4L58_RS01300
3_299: gene-E4L58_RS01305
3_300: gene-E4L58_RS01310
3_301: gene-E4L58_RS01315
3_302: gene-E4L58_RS01320
3_303: gene-E4L58_RS01325
3_304: gene-E4L58_RS01330
3_305: gene-E4L58_RS01335
3_306: gene-E4L58_RS01350
3_307: gene-E4L58_RS01355
3_308: gene-E4L58_RS01360
3_309: gene-E4L58_RS01365
3_310: gene-E4L58_RS01370
3_311: gene-E4L58_RS01375
3_312: gene-E4L58_RS01380
3_313: gene-E4L58_RS01385
3_314: gene-E4L58_RS01390
3_315: gene-E4L58_RS01395
3_316: gene-E4L58_RS01400
3_317: gene-E4L58_RS01405
3_318: gene-E4L58_RS01410
3_319: gene-E4L58_RS01415
